Time(s),FPS
1.00209,48
2.01756,47
3.02688,52
4.04532,53
5.04744,52
6.06088,52
7.06241,52
8.07439,53
9.08467,53
10.0999,53
11.1137,53
12.128,53
13.1358,52
14.1466,52
15.1489,52
16.1681,53
17.1723,50
18.1798,53
19.1839,52
20.1882,51
21.2021,53
22.2135,53
23.2242,53
24.2349,53
25.2379,52
26.2453,52
27.246,52
28.2566,53
29.2718,53
30.2858,53
31.3029,53
32.3142,53
33.3283,53
34.337,53
35.3426,52
36.3466,51
37.3603,53
38.3647,52
39.365,52
40.3819,53
41.396,52
42.4083,53
43.4232,53
44.4368,53
45.4493,53
46.465,53
47.4716,53
48.4826,53
49.4952,53
50.512,53
51.5203,53
52.5351,53
53.5459,53
54.5581,53
55.5657,53
56.5689,51
57.5716,52
58.5791,53
59.5893,53
60.601,53
61.6155,53
62.6301,53
63.6419,53
64.6575,53
65.6755,53
66.6792,51
67.692,53
68.7019,53
69.7074,53
70.7182,53
71.7355,53
72.7482,53
73.7597,53
74.7691,53
75.7806,53
76.7866,52
77.7967,53
78.8101,53
79.8103,52
80.8245,53
81.8274,52
82.8372,53
83.8429,51
84.8443,52
85.8561,53
86.8699,53
87.8865,53
88.8993,53
89.9066,53
90.9181,53
91.9303,53
92.937,52
93.9373,52
94.9383,52
95.9452,52
96.9515,51
97.9641,53
98.9699,53
99.9813,53
100.993,53
102.006,53
103.017,52
104.03,53
105.042,52
106.042,52
107.047,52
108.062,50
109.076,53
110.091,53
111.092,52
112.095,52
113.1,52
114.112,53
115.124,53
116.14,53
117.146,52
118.156,53
119.171,53
120.188,53
121.198,53
122.199,52
123.211,53
124.226,53
125.242,53
126.245,52
127.255,52
128.267,53
129.3,51
130.301,50
131.316,52
132.316,52
133.329,53
134.34,53
135.35,53
136.356,53
137.364,53
138.373,53
139.38,53
140.389,53
141.397,53
142.412,53
143.415,52
144.425,52
145.442,53
146.453,53
147.457,52
148.457,52
149.475,53
150.487,53
151.5,53
152.516,53
153.53,53
220.162,34
223.754,1
224.953,4
225.979,4
226.984,4
228.016,4
229.032,4
230.049,4
231.051,4
232.283,5
233.284,4
234.29,4
235.331,4
236.585,5
237.836,5
239.084,5
240.087,4
241.317,5
242.339,4
243.365,4
244.371,63
