Time(s),FPS
1.0067,50
2.0069,53
3.01949,54
4.03191,54
5.04054,55
6.05532,56
7.05582,54
8.07239,56
9.08633,56
10.0939,56
11.1255,56
12.1366,55
13.1479,56
14.1553,56
15.1624,56
16.1766,56
17.1923,56
18.2058,56
19.2168,56
20.2174,55
21.2277,56
22.242,56
23.247,52
24.2573,56
25.2658,56
26.2797,56
27.2804,55
28.2874,56
29.291,55
30.2914,55
31.2997,55
32.3173,56
33.3255,55
34.3328,56
35.3435,56
36.3476,55
37.3517,55
38.3686,56
39.3691,55
40.3818,56
41.388,55
42.3899,55
43.3902,55
44.4072,56
45.4088,56
46.415,56
47.4309,55
48.4404,56
49.4563,56
50.4673,56
51.4768,56
52.4906,56
53.4939,55
54.4966,56
55.5026,56
56.5127,56
57.5306,56
58.5393,56
59.5441,56
60.5555,56
61.5723,56
62.5803,56
63.5864,55
64.5952,56
65.5965,55
66.6119,56
67.6201,55
68.6303,56
69.6453,56
70.6551,56
71.6562,55
72.6683,56
73.6701,55
74.6714,55
75.6716,55
76.6818,53
77.6939,55
78.6981,55
79.7004,55
80.7126,56
81.7196,56
82.7281,56
83.7447,56
84.7569,56
85.7612,54
86.7683,56
87.7752,56
88.7818,56
89.7857,56
90.7905,55
91.8081,56
92.8192,56
93.8293,56
94.8405,56
95.8462,56
96.8567,56
97.8713,56
98.8756,56
99.8878,56
100.903,56
101.911,54
102.919,56
103.923,55
104.925,55
105.933,56
106.946,56
107.959,55
108.972,56
109.974,55
110.989,56
112.005,56
113.016,49
114.017,49
115.031,50
116.043,50
117.044,48
118.055,49
119.066,47
120.068,48
121.078,48
122.089,48
123.099,48
124.105,48
125.123,48
126.139,48
127.156,48
128.159,47
129.171,48
130.191,47
131.204,48
132.215,47
133.224,48
134.242,48
135.246,54
136.251,54
137.26,54
138.268,53
139.273,54
140.288,53
141.293,54
142.3,54
143.311,54
144.325,54
145.339,54
146.354,54
147.372,54
148.386,54
149.398,54
150.408,54
151.42,54
152.436,54
153.448,54
154.46,54
155.475,54
156.483,54
157.5,54
158.513,54
159.531,51
160.546,54
161.558,54
162.571,54
163.586,54
164.6,54
165.611,54
166.62,54
167.621,53
168.633,54
169.635,54
170.64,54
171.654,54
172.66,53
173.672,54
174.682,54
175.685,49
176.694,54
177.705,54
178.713,53
179.725,54
180.741,54
181.755,54
182.765,54
183.783,54
184.801,54
185.815,54
186.817,53
187.835,54
188.847,54
189.858,54
190.871,54
